predictor,mecanismo,k_leyenda,bloque,n_entregadas,cobertura,f1_alineado,f1_nativo,accuracy,leyenda
xgb-alphaearth,rechazo por confianza,18,3,4528,1.0,0.521902,0.521902,0.875883,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,18,4,1313,1.0,0.341679,0.341679,0.750952,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,18,0,2007,1.0,0.394952,0.394952,0.752865,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,18,1,4259,1.0,0.402119,0.402119,0.779291,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,18,2,4533,1.0,0.392396,0.392396,0.709464,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,18,3,4528,1.0,0.521902,0.521902,0.875883,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,18,4,1313,1.0,0.341679,0.341679,0.750952,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por soporte,18,0,2007,1.0,0.394952,0.394952,0.752865,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por soporte,18,1,4259,1.0,0.402119,0.402119,0.779291,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por soporte,18,2,4533,1.0,0.392396,0.392396,0.709464,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por soporte,18,3,4528,1.0,0.521902,0.521902,0.875883,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por soporte,18,4,1313,1.0,0.341679,0.341679,0.750952,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,sin mecanismo,18,0,2007,1.0,0.394952,0.394952,0.752865,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,sin mecanismo,18,1,4259,1.0,0.402119,0.402119,0.779291,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,sin mecanismo,18,2,4533,1.0,0.392396,0.392396,0.709464,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,sin mecanismo,18,3,4528,1.0,0.521902,0.521902,0.875883,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,sin mecanismo,18,4,1313,1.0,0.341679,0.341679,0.750952,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,16,0,2007,1.0,0.44432,0.394952,0.752865,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,16,1,4241,0.995774,0.451397,0.404681,0.781891,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,16,2,4024,0.887712,0.390145,0.405763,0.762922,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,16,3,4424,0.977032,0.57625,0.549327,0.891727,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,16,4,1272,0.968774,0.354865,0.354444,0.764937,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,retirada por F1,16,0,2007,1.0,0.44432,0.44432,0.752865,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
xgb-alphaearth,retirada por F1,16,1,4241,0.995774,0.44807,0.44807,0.780476,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
xgb-alphaearth,retirada por F1,16,2,4024,0.887712,0.412465,0.412465,0.722416,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16"
xgb-alphaearth,retirada por F1,16,3,4424,0.977032,0.554772,0.554772,0.883816,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,17"
xgb-alphaearth,retirada por F1,16,4,1272,0.968774,0.346073,0.346073,0.754717,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,17"
xgb-alphaearth,retirada por soporte,16,0,1947,0.970105,0.372861,0.372861,0.751926,"0,1,2,3,4,5,6,7,9,10,11,13,14,15,16,17"
xgb-alphaearth,retirada por soporte,16,1,4158,0.976286,0.366403,0.366403,0.778018,"0,1,2,3,4,5,6,7,9,10,11,13,14,15,16,17"
xgb-alphaearth,retirada por soporte,16,2,3648,0.804765,0.379264,0.379264,0.707785,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17"
xgb-alphaearth,retirada por soporte,16,3,4396,0.970848,0.539628,0.539628,0.878753,"0,1,2,3,4,5,6,7,8,9,10,11,13,15,16,17"
xgb-alphaearth,retirada por soporte,16,4,1275,0.971059,0.350668,0.350668,0.753725,"0,1,2,3,4,6,7,8,9,10,11,13,14,15,16,17"
xgb-alphaearth,sin mecanismo,16,0,2007,1.0,0.44432,0.44432,0.752865,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
xgb-alphaearth,sin mecanismo,16,1,4259,1.0,0.447549,0.447549,0.779291,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
xgb-alphaearth,sin mecanismo,16,2,4533,1.0,0.380581,0.380581,0.709464,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16"
xgb-alphaearth,sin mecanismo,16,3,4528,1.0,0.548846,0.548846,0.875883,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,17"
